TITLE="BATSRUS: Cut X Data, 2011/02/16 17:26:00.000"
VARIABLES ="X [R]", "Y [R]", "Z [R]", "Rho [g/cm^3]", "U_x [km/s]", "U_y [km/s]", "U_z [km/s]", "ti [K]", "te [K]", "B_x [Gauss]", "B_y [Gauss]", "B_z [Gauss]", "I01 [erg/cm^3]", "I02 [erg/cm^3]", "P [dyne/cm^2]", "pe [dyne/cm^2]", "E [erg/cm^3]", "ehot [erg/cm^3]", "qrad J/m^3/s", "qheat J/m^3/s", "refl 1/s", "J_x [`mA/m^2]", "J_y [`mA/m^2]", "J_z [`mA/m^2]"
ZONE T="2D X N=0000000             ", N=        2240, E=        1536, F=FEPOINT, ET=QUADRILATERAL
AUXDATA BLOCKS="         128   6 x 4 x 4"
AUXDATA BODYNUMDENSITY="150000000.00"
AUXDATA BORIS="F"
AUXDATA BTHETATILT="      0.0000"
AUXDATA CELLS="       12288"
AUXDATA CELLSUSED="       12288"
AUXDATA CODEVERSION="BATSRUS 9.90"
AUXDATA COORDSYSTEM="HGR"
AUXDATA COROTATION="F"
AUXDATA TypeFlux="Linde     "
AUXDATA GAMMA="      1.666667"
AUXDATA ITER="           0"
AUXDATA NPROC="           1"
AUXDATA ORDER="           2 minmod, beta= 1.00000"
AUXDATA RBODY="        1.00"
AUXDATA SAVEDATE="Save Date: 2022/10/10 at 15:10:52"
AUXDATA TIMEEVENT="2011/02/16 17:26:00.000"
AUXDATA TIMEEVENTSTART="2011/02/16 17:26:00.000"
AUXDATA TIMESIM="T= N/A"
AUXDATA TIMESIMSHORT=" SS"
  0.000000E+00  0.000000E+00 -1.000000E+00  1.459525E-13  2.220446E-16 -1.387779E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.161219E-01 -2.463424E-02  1.038897E+00  1.354287E-04  1.354287E-01  6.024053E-01  6.024053E-01  9.479477E-01  0.000000E+00 -4.239735E-03  1.435566E-08 -3.043808E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00 -1.003918E+00  8.700198E-14  0.000000E+00 -1.318390E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.158141E-01 -2.465757E-02  1.033855E+00  9.740042E-05  9.740042E-02  3.590925E-01  3.590925E-01  5.825502E-01  0.000000E+00 -2.198174E-03  1.190729E-08 -3.809263E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00 -1.007836E+00  1.675615E-14  0.000000E+00 -1.457168E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.151987E-01 -2.470424E-02  1.023772E+00  4.278405E-05  4.278405E-02  6.915943E-02  6.915943E-02  1.467980E-01  0.000000E+00 -8.127388E-05  7.855547E-09 -5.714016E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00 -1.011754E+00  3.268714E-15  2.220446E-16 -1.526557E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.145832E-01 -2.475090E-02  1.013689E+00  1.891367E-05  1.891367E-02  1.349131E-02  1.349131E-02  6.245174E-02  0.000000E+00 -3.082931E-06  5.198797E-09 -8.543636E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00 -1.015672E+00  6.491286E-16 -1.110223E-16 -1.804112E-16 -4.073221E+00  7.750000E+05  7.750000E+05 -1.139677E-01 -2.479757E-02  1.003605E+00  8.454578E-06  8.454578E-03  1.594518E-02  1.594518E-02  6.533399E-02  0.000000E+00 -4.183786E-07  5.848860E-08 -3.120577E-03  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00 -1.019590E+00  2.184772E-16 -2.220446E-16 -1.110223E-16 -8.231928E+00  1.500000E+06  1.500000E+06 -1.133237E-01 -2.484640E-02  9.930547E-01  5.239580E-06  5.239580E-03  2.705233E-02  2.705233E-02  8.116711E-02  0.000000E+00 -5.889007E-07  1.121123E-07 -3.080163E-03  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00 -1.025936E+00  2.076285E-16  0.000000E+00 -1.387779E-16 -8.541279E+00  1.500000E+06  1.500000E+06 -1.121234E-01 -2.493741E-02  9.733898E-01  5.107101E-06  5.107101E-03  2.570901E-02  2.570901E-02  7.757244E-02  0.000000E+00 -5.324788E-07  1.095851E-07 -2.647961E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  1.950903E-01 -9.807853E-01  1.459525E-13 -4.768700E+00  3.330669E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.311908E-01 -2.974277E-01  9.706447E-01  1.354287E-04  1.354287E-01  6.024053E-01  6.024053E-01  9.462386E-01  0.000000E+00 -4.239735E-03  1.421039E-08 -3.013007E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  1.958547E-01 -9.846279E-01  8.700198E-14 -4.778024E+00  3.330669E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.308448E-01 -2.957806E-01  9.660414E-01  9.740042E-05  9.740042E-02  3.590925E-01  3.590925E-01  5.808609E-01  0.000000E+00 -2.198174E-03  1.178702E-08 -3.770823E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  1.966190E-01 -9.884706E-01  1.675615E-14 -4.796671E+00  2.775558E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.301528E-01 -2.924864E-01  9.568347E-01  4.278405E-05  4.278405E-02  6.915943E-02  6.915943E-02  1.451480E-01  0.000000E+00 -8.127388E-05  7.776572E-09 -5.656626E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  1.973834E-01 -9.923133E-01  3.268714E-15 -4.815318E+00  2.775558E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.294608E-01 -2.891922E-01  9.476280E-01  1.891367E-05  1.891367E-02  1.349131E-02  1.349131E-02  6.084064E-02  0.000000E+00 -3.082931E-06  5.146781E-09 -8.458237E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  1.981478E-01 -9.961560E-01  6.491286E-16 -4.833965E+00  7.908196E-01 -3.994955E+00  7.750000E+05  7.750000E+05 -1.287688E-01 -2.858980E-01  9.384214E-01  8.454578E-06  8.454578E-03  1.594518E-02  1.594518E-02  6.376138E-02  0.000000E+00 -4.183786E-07  5.790792E-08 -3.089599E-03  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  1.989121E-01 -9.999987E-01  2.184772E-16 -4.853477E+00  1.598236E+00 -8.073753E+00  1.500000E+06  1.500000E+06 -1.280448E-01 -2.824512E-01  9.287880E-01  5.239580E-06  5.239580E-03  2.705233E-02  2.705233E-02  7.963430E-02  0.000000E+00 -5.889007E-07  1.110025E-07 -3.049847E-03  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  2.001503E-01 -1.006223E+00  2.076285E-16 -4.889844E+00  1.658297E+00 -8.377161E+00  1.500000E+06  1.500000E+06 -1.266953E-01 -2.760267E-01  9.108326E-01  5.107101E-06  5.107101E-03  2.570901E-02  2.570901E-02  7.611224E-02  0.000000E+00 -5.324788E-07  1.085115E-07 -2.604582E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  3.826834E-01 -9.238795E-01  1.459525E-13 -9.354141E+00  6.106227E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.866812E-01 -5.013597E-01  7.906015E-01  1.354287E-04  1.354287E-01  6.024053E-01  6.024053E-01  9.406641E-01  0.000000E+00 -4.239735E-03  1.371671E-08 -2.908333E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  3.841828E-01 -9.274992E-01  8.700198E-14 -9.372430E+00  6.661338E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.856714E-01 -4.989067E-01  7.873841E-01  9.740042E-05  9.740042E-02  3.590925E-01  3.590925E-01  5.753725E-01  0.000000E+00 -2.198174E-03  1.137959E-08 -3.640817E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  3.856821E-01 -9.311190E-01  1.675615E-14 -9.409008E+00  5.551115E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.836517E-01 -4.940005E-01  7.809493E-01  4.278405E-05  4.278405E-02  6.915943E-02  6.915943E-02  1.398308E-01  0.000000E+00 -8.127388E-05  7.511212E-09 -5.464116E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  3.871815E-01 -9.347387E-01  3.268714E-15 -9.445586E+00  5.551115E-16  0.000000E+00  5.000000E+04  5.000000E+04 -1.816321E-01 -4.890944E-01  7.745145E-01  1.891367E-05  1.891367E-02  1.349131E-02  1.349131E-02  5.569239E-02  0.000000E+00 -3.082931E-06  4.973486E-09 -8.174218E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  3.886808E-01 -9.383585E-01  6.491286E-16 -9.482164E+00  1.551248E+00 -3.763166E+00  7.750000E+05  7.750000E+05 -1.796125E-01 -4.841883E-01  7.680797E-01  8.454578E-06  8.454578E-03  1.594518E-02  1.594518E-02  5.877992E-02  0.000000E+00 -4.183786E-07  5.600013E-08 -2.987839E-03  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  3.901801E-01 -9.419782E-01  2.184772E-16 -9.520438E+00  3.135053E+00 -7.605309E+00  1.500000E+06  1.500000E+06 -1.774993E-01 -4.790547E-01  7.613466E-01  5.239580E-06  5.239580E-03  2.705233E-02  2.705233E-02  7.482500E-02  0.000000E+00 -5.889007E-07  1.073761E-07 -2.957948E-03  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  3.926089E-01 -9.478417E-01  2.076285E-16 -9.591774E+00  3.252867E+00 -7.891113E+00  1.500000E+06  1.500000E+06 -1.735606E-01 -4.694865E-01  7.487972E-01  5.107101E-06  5.107101E-03  2.570901E-02  2.570901E-02  7.161569E-02  0.000000E+00 -5.324788E-07  1.050694E-07 -4.565751E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  5.555702E-01 -8.314696E-01  1.459525E-13 -1.358011E+01  8.881784E-16  0.000000E+00  5.000000E+04  5.000000E+04 -2.562889E-01 -6.409801E-01  5.881064E-01  1.354287E-04  1.354287E-01  6.024053E-01  6.024053E-01  9.371835E-01  0.000000E+00 -4.239735E-03  1.337623E-08 -2.836142E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  5.577469E-01 -8.347272E-01  8.700198E-14 -1.360666E+01  8.881784E-16  0.000000E+00  5.000000E+04  5.000000E+04 -2.544269E-01 -6.382479E-01  5.857813E-01  9.740042E-05  9.740042E-02  3.590925E-01  3.590925E-01  5.719218E-01  0.000000E+00 -2.198174E-03  1.109717E-08 -3.550464E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  5.599236E-01 -8.379849E-01  1.675615E-14 -1.365976E+01  8.881784E-16  0.000000E+00  5.000000E+04  5.000000E+04 -2.507029E-01 -6.327836E-01  5.811310E-01  4.278405E-05  4.278405E-02  6.915943E-02  6.915943E-02  1.364396E-01  0.000000E+00 -8.127388E-05  7.324866E-09 -5.328568E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  5.621004E-01 -8.412426E-01  3.268714E-15 -1.371287E+01  8.881784E-16  0.000000E+00  5.000000E+04  5.000000E+04 -2.469790E-01 -6.273192E-01  5.764807E-01  1.891367E-05  1.891367E-02  1.349131E-02  1.349131E-02  5.236033E-02  0.000000E+00 -3.082931E-06  4.850150E-09 -7.971527E-05  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  5.642771E-01 -8.445003E-01  6.491286E-16 -1.376597E+01  2.252064E+00 -3.386760E+00  7.750000E+05  7.750000E+05 -2.432551E-01 -6.218548E-01  5.718305E-01  8.454578E-06  8.454578E-03  1.594518E-02  1.594518E-02  5.550665E-02  0.000000E+00 -4.183786E-07  5.461243E-08 -2.913800E-03  0.000000E+00  0.000000E+00  0.000000E+00
